Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_mobilenet1.0_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 6][Batch 1099], Speed: 126.658 samples/sec, CrossEntropy=3.963, SmoothL1=4.141
[Epoch 6][Batch 1199], Speed: 159.912 samples/sec, CrossEntropy=3.964, SmoothL1=4.155
[Epoch 6][Batch 1299], Speed: 187.530 samples/sec, CrossEntropy=3.964, SmoothL1=4.145
[Epoch 6][Batch 1399], Speed: 176.305 samples/sec, CrossEntropy=3.961, SmoothL1=4.140
[Epoch 6][Batch 1499], Speed: 149.846 samples/sec, CrossEntropy=3.960, SmoothL1=4.132
[Epoch 6][Batch 1599], Speed: 172.465 samples/sec, CrossEntropy=3.959, SmoothL1=4.131
[Epoch 6][Batch 1699], Speed: 169.085 samples/sec, CrossEntropy=3.955, SmoothL1=4.122
[Epoch 6][Batch 1799], Speed: 140.323 samples/sec, CrossEntropy=3.954, SmoothL1=4.121
[Epoch 6][Batch 1899], Speed: 208.046 samples/sec, CrossEntropy=3.953, SmoothL1=4.114
[Epoch 6][Batch 1999], Speed: 138.018 samples/sec, CrossEntropy=3.952, SmoothL1=4.119
